"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2016","107.08","108.75","108.98","106.16","644.94K","0.78%"
"Mar 09, 2016","106.25","106.86","106.91","105.80","202.70K","0.41%"
"Mar 08, 2016","105.82","106.52","106.70","105.62","459.47K","-1.94%"
"Mar 07, 2016","107.91","107.23","108.55","107.07","745.73K","-1.50%"
"Mar 04, 2016","109.55","109.56","110.29","109.00","204.67K","0.90%"
"Mar 03, 2016","108.57","107.69","108.57","107.64","289.25K","1.48%"
"Mar 02, 2016","106.99","106.85","107.30","106.52","275.70K","0.55%"
"Mar 01, 2016","106.41","105.30","106.65","104.89","344.67K","2.22%"
"Feb 29, 2016","104.10","105.10","105.28","104.10","423.63K","-0.99%"
"Feb 26, 2016","105.14","105.00","106.08","104.63","492.65K","-0.41%"
"Feb 25, 2016","105.57","105.10","105.59","104.46","848.95K","0.94%"
"Feb 24, 2016","104.59","105.07","105.22","102.85","628.84K","-0.98%"
"Feb 23, 2016","105.62","106.55","106.67","105.53","162.23K","-1.00%"
"Feb 22, 2016","106.69","106.07","106.90","106.06","297.79K","1.31%"
"Feb 19, 2016","105.31","105.68","105.85","104.80","723.91K","-1.99%"
"Feb 18, 2016","107.45","108.58","108.95","107.22","224.74K","-0.63%"
"Feb 17, 2016","108.13","107.69","108.45","107.60","696.55K","-0.07%"
"Feb 16, 2016","108.21","108.05","108.59","107.45","476.67K","2.80%"
"Feb 12, 2016","105.26","103.17","105.37","102.54","668.32K","0.17%"
"Feb 11, 2016","105.08","105.29","105.78","104.17","545.90K","-1.58%"
"Feb 10, 2016","106.77","108.62","109.47","106.64","414.06K","-0.07%"
"Feb 09, 2016","106.84","105.99","107.57","105.58","498.81K","-2.10%"
"Feb 08, 2016","109.13","109.74","109.81","107.97","687.72K","-1.14%"
"Feb 05, 2016","110.39","112.24","112.52","109.00","851.11K","-3.41%"
"Feb 04, 2016","114.29","113.50","114.48","112.73","560.90K","-0.61%"
"Feb 03, 2016","114.99","116.48","116.75","113.39","622.64K","-3.37%"
"Feb 02, 2016","119.00","120.15","120.15","118.50","353.37K","-1.16%"
"Feb 01, 2016","120.40","120.00","120.77","119.16","416.73K","0.31%"
"Jan 29, 2016","120.03","118.75","120.03","118.01","746.02K","3.37%"
"Jan 28, 2016","116.12","116.68","116.68","114.93","313.75K","0.69%"
"Jan 27, 2016","115.32","116.00","117.09","114.80","320.95K","0.85%"
"Jan 26, 2016","114.35","113.30","114.38","113.18","268.21K","0.83%"
"Jan 25, 2016","113.41","114.37","114.59","113.21","248.66K","-2.19%"
"Jan 22, 2016","115.95","115.11","116.04","114.82","595.48K","4.37%"
"Jan 21, 2016","111.10","110.36","112.05","109.47","285.29K","-0.37%"
"Jan 20, 2016","111.51","112.30","112.43","108.94","1.00M","-3.05%"
"Jan 19, 2016","115.02","116.01","116.10","113.87","485.48K","2.15%"
"Jan 15, 2016","112.60","114.06","114.17","111.89","636.96K","-3.17%"
"Jan 14, 2016","116.29","115.37","116.63","114.21","354.24K","1.13%"
"Jan 13, 2016","114.99","117.20","117.36","114.54","345.83K","-0.73%"
"Jan 12, 2016","115.83","116.65","116.72","114.47","341.62K","0.89%"
"Jan 11, 2016","114.81","114.26","114.88","113.46","511.45K","1.55%"
"Jan 08, 2016","113.06","116.32","116.68","112.92","635.82K","-2.17%"
"Jan 07, 2016","115.57","116.08","116.64","115.46","407.58K","-2.37%"
"Jan 06, 2016","118.38","118.57","118.80","117.76","277.59K","-2.28%"
"Jan 05, 2016","121.14","121.54","121.54","120.16","306.40K","-0.26%"
"Jan 04, 2016","121.46","121.52","122.26","120.17","413.57K","-1.28%"
"Dec 31, 2015","123.04","123.35","124.33","122.65","221.03K","-0.15%"
"Dec 30, 2015","123.22","124.40","124.43","123.11","334.27K","-1.23%"
"Dec 29, 2015","124.76","124.09","125.08","124.09","160.43K","0.23%"
"Dec 28, 2015","124.47","124.43","124.85","124.23","283.81K","-1.03%"
"Dec 24, 2015","125.77","125.40","126.11","125.40","102.30K","-1.09%"
"Dec 23, 2015","127.15","126.66","127.28","126.23","298.63K","1.25%"
"Dec 22, 2015","125.58","125.48","126.00","124.80","332.82K","0.75%"
"Dec 21, 2015","124.65","124.75","125.39","123.65","274.11K","0.21%"
"Dec 18, 2015","124.39","124.83","125.00","123.95","359.04K","-0.33%"
"Dec 17, 2015","124.80","126.35","126.63","124.71","352.79K","-1.47%"
"Dec 16, 2015","126.66","125.06","126.89","124.85","493.87K","3.68%"
"Dec 15, 2015","122.17","122.57","122.97","122.12","245.20K","-0.27%"
